gate_id,metric,value,threshold,status
G0,nan_inf_count,0,<=0,pass
G0,cond_global_max,1.938887,<1000.000000,pass
G0,cond_lowcurv_max,1.938887,<200.000000,pass
G1,median_gamma_abs_err,0.000000,<0.001000,pass
G1,p90_gamma_abs_err,0.000000,<0.010000,pass
G2,median_trace_ratio,2.000000,|x-2.0|<0.010000,pass
G2,trace_ratio_abs_dev,0.000000,<0.010000,pass
G3a,max_traceless_residual,1.467466e-15,<1.000000e-08,pass
G3b,sign_consistent_frac,1.000000,>=0.850000,pass
G3b,sign_valid_count,17,>=0,pass
G3c,max_s_frob,0.689280,<=0.720000,pass
G4,median_dev_ratio,0.329642,<5.000000,pass
D1,min_eig_global,0.425122,>=1.000000e-08,pass
D2,median_delta_g,0.051209,<=0.100000,pass
D2,p90_delta_g,0.144365,<=0.250000,pass
D3,median_cos_sim,0.993309,>=0.900000,pass
D3,p10_cos_sim,0.971186,>=0.700000,pass
D4,median_cos_sim_shuffled,-0.106239,<0.550000,pass
FINAL,decision,pass,G0&G1&G2&G3&G4&D1&D2&D3&D4,pass
