anchor_id,sigma_center,iso_coeff_th,gamma,gamma_abs_err,above_sigma_floor
128,0.791278,-0.582556,1.000000,0.000000,True
1,0.486749,0.026501,1.000000,0.000000,True
260,0.817513,-0.635026,1.000000,0.000000,True
262,0.546595,-0.093191,1.000000,0.000000,True
136,0.721315,-0.442630,1.000000,0.000000,True
137,0.333433,0.333134,1.000000,0.000000,True
10,0.065294,0.869413,1.000000,2.220446e-16,True
12,0.656421,-0.312843,1.000000,0.000000,True
269,0.758393,-0.516785,1.000000,0.000000,True
143,0.718020,-0.436041,1.000000,0.000000,True
18,0.809190,-0.618381,1.000000,0.000000,True
275,0.810795,-0.621590,1.000000,0.000000,True
148,0.798318,-0.596637,1.000000,0.000000,True
21,0.795409,-0.590819,1.000000,0.000000,True
147,0.647752,-0.295504,1.000000,0.000000,True
279,0.834374,-0.668747,1.000000,0.000000,True
24,0.391312,0.217377,1.000000,1.110223e-16,True
153,0.598416,-0.196831,1.000000,0.000000,True
154,0.660765,-0.321531,1.000000,0.000000,True
26,0.579904,-0.159808,1.000000,0.000000,True
29,0.419814,0.160372,1.000000,0.000000,True
30,0.640879,-0.281758,1.000000,0.000000,True
32,0.083237,0.833527,1.000000,0.000000,True
161,0.820567,-0.641135,1.000000,0.000000,True
160,0.535605,-0.071210,1.000000,0.000000,True
40,0.353630,0.292740,1.000000,0.000000,True
171,0.329496,0.341008,1.000000,0.000000,True
172,0.538381,-0.076762,1.000000,0.000000,True
47,0.835292,-0.670585,1.000000,0.000000,True
180,0.804302,-0.608603,1.000000,0.000000,True
183,0.816564,-0.633129,1.000000,0.000000,True
185,0.658306,-0.316612,1.000000,0.000000,True
58,0.662207,-0.324414,1.000000,0.000000,True
60,0.812916,-0.625833,1.000000,0.000000,True
188,0.789538,-0.579075,1.000000,0.000000,True
191,0.134042,0.731916,1.000000,2.220446e-16,True
64,0.808175,-0.616351,1.000000,0.000000,True
192,0.265056,0.469888,1.000000,0.000000,True
194,0.809026,-0.618051,1.000000,0.000000,True
198,0.498392,0.003215,1.000000,0.000000,True
70,0.144793,0.710413,1.000000,6.661338e-16,True
71,0.562495,-0.124991,1.000000,0.000000,True
77,0.806745,-0.613491,1.000000,0.000000,True
205,0.760647,-0.521294,1.000000,0.000000,True
81,0.731847,-0.463694,1.000000,0.000000,True
211,0.793934,-0.587869,1.000000,0.000000,True
216,0.255258,0.489484,1.000000,0.000000,True
89,0.829096,-0.658193,1.000000,0.000000,True
88,0.332792,0.334416,1.000000,0.000000,True
91,0.770482,-0.540964,1.000000,0.000000,True
222,0.816097,-0.632194,1.000000,0.000000,True
223,0.326490,0.347020,1.000000,2.220446e-16,True
224,0.815694,-0.631388,1.000000,0.000000,True
226,0.828774,-0.657548,1.000000,0.000000,True
229,0.304237,0.391526,1.000000,2.220446e-16,True
102,0.333122,0.333757,1.000000,0.000000,True
231,0.670591,-0.341181,1.000000,0.000000,True
232,0.703903,-0.407807,1.000000,0.000000,True
233,0.827068,-0.654137,1.000000,0.000000,True
234,0.801308,-0.602615,1.000000,0.000000,True
107,0.803202,-0.606404,1.000000,0.000000,True
106,0.297386,0.405228,1.000000,0.000000,True
109,0.786678,-0.573355,1.000000,0.000000,True
240,0.759617,-0.519234,1.000000,0.000000,True
124,0.495271,0.009458,1.000000,0.000000,True
242,0.806476,-0.612951,1.000000,0.000000,True
116,0.813226,-0.626452,1.000000,0.000000,True
245,0.151153,0.697694,1.000000,2.220446e-16,True
118,0.184771,0.630458,1.000000,0.000000,True
121,0.598412,-0.196825,1.000000,0.000000,True
127,0.774762,-0.549524,1.000000,0.000000,True
255,0.815491,-0.630981,1.000000,0.000000,True
